Version, Version Name, Name, LOCs, Churn, Age, Weighted Age, Number of Authors, Revisions, LOC Touched, LOC Added, Number of Fix, Buggy
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,315,315,0,0,3,6,315,315,2,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,76,76,0,0,2,4,76,76,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,49,49,0,0,2,3,49,49,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,112,112,0,0,2,4,112,112,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,332,332,0,0,1,1,332,332,0,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,211,211,0,0,2,5,211,211,0,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,541,541,0,0,2,4,541,541,0,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,333,333,0,0,2,5,333,333,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,88,88,0,0,2,4,88,88,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,35,35,0,0,1,1,35,35,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,54,54,0,0,2,2,54,54,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,47,47,0,0,3,3,47,47,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,42,42,0,0,2,2,42,42,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,156,156,0,0,3,4,156,156,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,43,43,0,0,1,1,43,43,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,41,41,0,0,1,1,41,41,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,78,78,0,0,2,2,78,78,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,120,120,0,0,1,1,120,120,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,35,35,0,0,1,1,35,35,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,35,35,0,0,1,1,35,35,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,50,50,0,0,1,1,50,50,0,false,
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,141,141,0,0,2,2,141,141,0,true,
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5842,5842,0,0,2,2,5842,5842,1,true,
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,123,123,0,0,2,2,123,123,0,false,
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,37,37,0,0,1,1,37,37,0,false,
1,refs/tags/release-4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,35,35,0,0,2,2,35,35,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,79,79,0,0,2,3,79,79,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,84,84,0,0,3,5,84,84,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,70,70,0,0,3,4,70,70,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,87,87,0,0,2,3,87,87,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,37,37,0,0,1,1,37,37,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,246,246,0,0,2,2,246,246,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,28,28,0,0,2,2,28,28,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,94,94,0,0,1,1,94,94,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,30,30,0,0,2,2,30,30,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,65,65,0,0,1,1,65,65,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,23,23,0,0,1,1,23,23,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,23,23,0,0,1,1,23,23,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,26,26,0,0,2,2,26,26,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,459,459,0,0,3,4,459,459,1,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,54,54,0,0,2,2,54,54,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,26,26,0,0,2,2,26,26,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,53,53,0,0,2,2,53,53,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,33,33,0,0,2,2,33,33,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,58,58,0,0,2,2,58,58,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,132,132,0,0,2,3,132,132,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,62,62,0,0,2,2,62,62,0,true,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,335,335,0,0,3,6,335,335,1,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,67,67,0,0,2,2,67,67,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,139,139,0,0,2,3,139,139,0,false,
1,refs/tags/release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,619,619,0,0,2,3,619,619,0,false,
